subj,,cb,trialNum,phase,x,group,y
2152,diff,1,6,2,5,linear,0
2152,diff,1,7,2,8,linear,100
2152,diff,1,8,2,2,linear,0
2152,diff,1,9,2,10,linear,60.23968043
2152,diff,1,10,2,3,linear,0
2152,diff,1,11,2,4,linear,0
2154,diff,2,1,2,7,linear,60.07396157
2154,diff,2,2,2,8,linear,0
2154,diff,2,3,2,6,linear,0
2154,diff,2,4,2,5,linear,60.68810672
2154,diff,2,5,2,9,linear,81.44357129
2154,diff,2,6,2,10,linear,0
2154,diff,2,7,2,2,linear,8.967839926
2154,diff,2,8,2,3,linear,0.033018556
2154,diff,2,9,2,4,linear,0.033018556
2154,diff,2,10,2,11,linear,0
2154,diff,2,11,2,1,linear,81.70111603
2162,diff,2,1,2,3,linear,0.066383431
2162,diff,2,2,2,2,linear,8.689591078
2162,diff,2,3,2,8,linear,91.60249602
2162,diff,2,4,2,5,linear,38.50902815
2162,diff,2,5,2,4,linear,28.71747212
2162,diff,2,6,2,11,linear,82.18932554
2162,diff,2,7,2,10,linear,81.05416888
2162,diff,2,8,2,7,linear,49.36935741
2162,diff,2,9,2,6,linear,59.61232076
2162,diff,2,10,2,1,linear,10.11683484
2162,diff,2,11,2,9,linear,81.22012746
2060,diff,1,1,2,10,similarity,48.48315392
2060,diff,1,2,2,5,similarity,80.21809031
2060,diff,1,3,2,6,similarity,80.58157416
2060,diff,1,4,2,1,similarity,48.52509437
2060,diff,1,5,2,8,similarity,80.35789179
2060,diff,1,6,2,2,similarity,48.2454914
2060,diff,1,7,2,7,similarity,80.39983224
2060,diff,1,8,2,3,similarity,0.181741926
2060,diff,1,9,2,4,similarity,0.405424297
2060,diff,1,10,2,11,similarity,48.2454914
2060,diff,1,11,2,9,similarity,48.42723333
2064,diff,1,1,2,2,similarity,28.40070955
2064,diff,1,2,2,11,similarity,70.20819718
2064,diff,1,3,2,6,similarity,93.93147232
2064,diff,1,4,2,7,similarity,96.25618523
2064,diff,1,5,2,3,similarity,5.751097003
2064,diff,1,6,2,5,similarity,75.22173467
2064,diff,1,7,2,8,similarity,80.42199608
2064,diff,1,8,2,10,similarity,80.42199608
2064,diff,1,9,2,4,similarity,4.42535711
2064,diff,1,10,2,9,similarity,80.69274578
2064,diff,1,11,2,1,similarity,9.21482588
2068,diff,1,1,2,6,similarity,100
2068,diff,1,2,2,5,similarity,100
2068,diff,1,3,2,9,similarity,48.78026071
2068,diff,1,4,2,1,similarity,0
2068,diff,1,5,2,11,similarity,48.37057728
2068,diff,1,6,2,4,similarity,60.51210428
2068,diff,1,7,2,2,similarity,0.996275605
2068,diff,1,8,2,8,similarity,48.51024209
2068,diff,1,9,2,7,similarity,69.42271881
2068,diff,1,10,2,3,similarity,0.09310987
2068,diff,1,11,2,10,similarity,47.87709497
2084,diff,1,1,2,11,similarity,37.99841039
2084,diff,1,2,2,2,similarity,19.79070076
2084,diff,1,3,2,8,similarity,59.18002384
2084,diff,1,4,2,7,similarity,72.45330507
2084,diff,1,5,2,4,similarity,27.38773347
2084,diff,1,6,2,3,similarity,20.1748576
2084,diff,1,7,2,1,similarity,35.95840509
2084,diff,1,8,2,10,similarity,69.12173798
2084,diff,1,9,2,9,similarity,49.2515565
2084,diff,1,10,2,6,similarity,70.54576765
2084,diff,1,11,2,5,similarity,60.50470261
2086,diff,2,1,2,6,similarity,59.94329421
2086,diff,2,2,2,7,similarity,54.18040353
2086,diff,2,3,2,4,similarity,19.82724515
2086,diff,2,4,2,3,similarity,10.65541342
2086,diff,2,5,2,5,similarity,49.22194382
2086,diff,2,6,2,8,similarity,48.25926414
2086,diff,2,7,2,11,similarity,37.69616247
2086,diff,2,8,2,9,similarity,57.23987868
2086,diff,2,9,2,1,similarity,10.00923117
2086,diff,2,10,2,2,similarity,8.499274693
2086,diff,2,11,2,10,similarity,49.16260055
2094,diff,2,1,2,3,similarity,33.92845247
2094,diff,2,2,2,7,similarity,35.65385384
2094,diff,2,3,2,8,similarity,60.18253281
2094,diff,2,4,2,2,similarity,19.22590101
2094,diff,2,5,2,9,similarity,93.51808674
2094,diff,2,6,2,1,similarity,60.18253281
2094,diff,2,7,2,5,similarity,100
2094,diff,2,8,2,11,similarity,71.24775165
2094,diff,2,9,2,6,similarity,70.92132436
2094,diff,2,10,2,4,similarity,71.34767837
2094,diff,2,11,2,10,similarity,29.57164746
2096,diff,1,1,2,2,similarity,0.033031644
2096,diff,1,2,2,1,similarity,0.05945696
2096,diff,1,3,2,7,similarity,81.21160071
2096,diff,1,4,2,8,similarity,81.11250578
2096,diff,1,5,2,9,similarity,81.21160071
2096,diff,1,6,2,6,similarity,80.95395389
2096,diff,1,7,2,10,similarity,49.38230825
2096,diff,1,8,2,4,similarity,0
2096,diff,1,9,2,11,similarity,49.256788
2096,diff,1,10,2,5,similarity,81.24463236
2096,diff,1,11,2,3,similarity,0.033031644
2098,diff,2,1,2,6,similarity,76.32205182
2098,diff,2,2,2,3,similarity,0
2098,diff,2,3,2,7,similarity,19.94976203
2098,diff,2,4,2,2,similarity,0
2098,diff,2,5,2,11,similarity,0
2098,diff,2,6,2,1,similarity,0
2098,diff,2,7,2,9,similarity,0
2098,diff,2,8,2,10,similarity,0
2098,diff,2,9,2,8,similarity,29.53463776
2098,diff,2,10,2,5,similarity,70.72977261
2098,diff,2,11,2,4,similarity,19.01110524
2104,diff,1,1,2,2,similarity,0.032988058
