exp,freq_var,group,subj,x,trial,y
3,variable,fixed,3,1,8,1
3,variable,fixed,3,1,9,1
3,variable,fixed,3,1,10,1
3,variable,fixed,3,1,11,1
3,variable,fixed,3,1,12,1
3,variable,fixed,3,2,1,0
3,variable,fixed,3,2,2,1
3,variable,fixed,3,2,3,1
3,variable,fixed,3,2,4,1
3,variable,fixed,3,2,5,1
3,variable,fixed,3,2,6,1
3,variable,fixed,3,2,7,1
3,variable,fixed,3,2,8,1
3,variable,fixed,3,2,9,1
3,variable,fixed,3,2,10,1
3,variable,fixed,3,2,11,1
3,variable,fixed,3,2,12,1
3,variable,fixed,3,3,1,1
3,variable,fixed,3,3,2,1
3,variable,fixed,3,3,3,1
3,variable,fixed,3,3,4,1
3,variable,fixed,3,3,5,1
3,variable,fixed,3,3,6,1
3,variable,fixed,3,3,7,1
3,variable,fixed,3,3,8,1
3,variable,fixed,3,3,9,1
3,variable,fixed,3,3,10,1
3,variable,fixed,3,3,11,1
3,variable,fixed,3,3,12,1
3,variable,fixed,3,4,1,0
3,variable,fixed,3,4,2,1
3,variable,fixed,3,4,3,1
3,variable,fixed,3,4,4,1
3,variable,fixed,3,4,5,1
3,variable,fixed,3,4,6,1
3,variable,fixed,3,4,7,1
3,variable,fixed,3,4,8,1
3,variable,fixed,3,4,9,1
3,variable,fixed,3,4,10,1
3,variable,fixed,3,4,11,1
3,variable,fixed,3,4,12,1
3,variable,fixed,3,5,1,1
3,variable,fixed,3,5,2,1
3,variable,fixed,3,5,3,1
3,variable,fixed,3,5,4,1
3,variable,fixed,3,5,5,1
3,variable,fixed,3,5,6,1
3,variable,fixed,3,5,7,1
3,variable,fixed,3,5,8,0
3,variable,fixed,3,5,9,0
3,variable,fixed,3,5,10,0
3,variable,fixed,3,5,11,0
3,variable,fixed,3,5,12,0
3,variable,fixed,3,6,1,1
3,variable,fixed,3,6,2,1
3,variable,fixed,3,6,3,1
3,variable,fixed,3,6,4,1
3,variable,fixed,3,6,5,1
3,variable,fixed,3,6,6,1
3,variable,fixed,3,6,7,0
3,variable,fixed,3,6,8,0
3,variable,fixed,3,6,9,0
3,variable,fixed,3,6,10,0
3,variable,fixed,3,6,11,0
3,variable,fixed,3,6,12,0
3,variable,fixed,4,0,1,1
3,variable,fixed,4,0,2,0
3,variable,fixed,4,0,3,0
3,variable,fixed,4,0,4,1
3,variable,fixed,4,0,5,0
3,variable,fixed,4,0,6,1
3,variable,fixed,4,0,7,1
3,variable,fixed,4,0,8,1
3,variable,fixed,4,0,9,1
3,variable,fixed,4,0,10,1
3,variable,fixed,4,0,11,1
3,variable,fixed,4,0,12,1
3,variable,fixed,4,1,1,1
3,variable,fixed,4,1,2,1
3,variable,fixed,4,1,3,1
3,variable,fixed,4,1,4,1
3,variable,fixed,4,1,5,1
3,variable,fixed,4,1,6,1
3,variable,fixed,4,1,7,1
3,variable,fixed,4,1,8,0
3,variable,fixed,4,1,9,1
3,variable,fixed,4,1,10,1
3,variable,fixed,4,1,11,1
3,variable,fixed,4,1,12,1
3,variable,fixed,4,2,1,1
3,variable,fixed,4,2,2,1
3,variable,fixed,4,2,3,1
3,variable,fixed,4,2,4,1
3,variable,fixed,4,2,5,1
3,variable,fixed,4,2,6,1
3,variable,fixed,4,2,7,0
3,variable,fixed,4,2,8,1
3,variable,fixed,4,2,9,0
3,variable,fixed,4,2,10,0
3,variable,fixed,4,2,11,1
3,variable,fixed,4,2,12,1
3,variable,fixed,4,3,1,0
3,variable,fixed,4,3,2,1
3,variable,fixed,4,3,3,1
3,variable,fixed,4,3,4,1
3,variable,fixed,4,3,5,1
3,variable,fixed,4,3,6,1
3,variable,fixed,4,3,7,1
3,variable,fixed,4,3,8,0
3,variable,fixed,4,3,9,0
3,variable,fixed,4,3,10,0
3,variable,fixed,4,3,11,0
3,variable,fixed,4,3,12,0
3,variable,fixed,4,4,1,0
3,variable,fixed,4,4,2,1
3,variable,fixed,4,4,3,1
3,variable,fixed,4,4,4,1
3,variable,fixed,4,4,5,1
3,variable,fixed,4,4,6,1
3,variable,fixed,4,4,7,0
3,variable,fixed,4,4,8,0
3,variable,fixed,4,4,9,0
3,variable,fixed,4,4,10,0
3,variable,fixed,4,4,11,0
3,variable,fixed,4,4,12,0
3,variable,fixed,4,5,1,1
3,variable,fixed,4,5,2,1
3,variable,fixed,4,5,3,1
3,variable,fixed,4,5,4,1
3,variable,fixed,4,5,5,1
3,variable,fixed,4,5,6,1
3,variable,fixed,4,5,7,0
3,variable,fixed,4,5,8,0
3,variable,fixed,4,5,9,0
3,variable,fixed,4,5,10,0
3,variable,fixed,4,5,11,0
3,variable,fixed,4,5,12,0
3,variable,fixed,4,6,1,1
3,variable,fixed,4,6,2,1
3,variable,fixed,4,6,3,1
3,variable,fixed,4,6,4,1
3,variable,fixed,4,6,5,1
3,variable,fixed,4,6,6,1
3,variable,fixed,4,6,7,0
3,variable,fixed,4,6,8,0
3,variable,fixed,4,6,9,0
3,variable,fixed,4,6,10,0
3,variable,fixed,4,6,11,0
3,variable,fixed,4,6,12,0
3,variable,fixed,5,0,1,1
3,variable,fixed,5,0,2,0
3,variable,fixed,5,0,3,1
3,variable,fixed,5,0,4,0
3,variable,fixed,5,0,5,0
3,variable,fixed,5,0,6,0
3,variable,fixed,5,0,7,1
3,variable,fixed,5,0,8,1
3,variable,fixed,5,0,9,1
3,variable,fixed,5,0,10,1
3,variable,fixed,5,0,11,1
3,variable,fixed,5,0,12,1
3,variable,fixed,5,1,1,1
3,variable,fixed,5,1,2,1
3,variable,fixed,5,1,3,0
3,variable,fixed,5,1,4,0
3,variable,fixed,5,1,5,0
3,variable,fixed,5,1,6,0
3,variable,fixed,5,1,7,1
3,variable,fixed,5,1,8,1
3,variable,fixed,5,1,9,1
3,variable,fixed,5,1,10,1
3,variable,fixed,5,1,11,1
3,variable,fixed,5,1,12,1
3,variable,fixed,5,2,1,1
3,variable,fixed,5,2,2,0
3,variable,fixed,5,2,3,1
3,variable,fixed,5,2,4,0
3,variable,fixed,5,2,5,0
3,variable,fixed,5,2,6,0
3,variable,fixed,5,2,7,1
3,variable,fixed,5,2,8,1
3,variable,fixed,5,2,9,1
3,variable,fixed,5,2,10,1
3,variable,fixed,5,2,11,1
3,variable,fixed,5,2,12,1
3,variable,fixed,5,3,1,1
3,variable,fixed,5,3,2,0
3,variable,fixed,5,3,3,0
3,variable,fixed,5,3,4,0
3,variable,fixed,5,3,5,0
3,variable,fixed,5,3,6,0
3,variable,fixed,5,3,7,1
3,variable,fixed,5,3,8,1
3,variable,fixed,5,3,9,1
3,variable,fixed,5,3,10,1
3,variable,fixed,5,3,11,1
3,variable,fixed,5,3,12,1
3,variable,fixed,5,4,1,0
3,variable,fixed,5,4,2,1
3,variable,fixed,5,4,3,1
3,variable,fixed,5,4,4,0
3,variable,fixed,5,4,5,0
3,variable,fixed,5,4,6,0
3,variable,fixed,5,4,7,0
3,variable,fixed,5,4,8,1
3,variable,fixed,5,4,9,1
3,variable,fixed,5,4,10,0
3,variable,fixed,5,4,11,1
3,variable,fixed,5,4,12,0
3,variable,fixed,5,5,1,0
3,variable,fixed,5,5,2,0
3,variable,fixed,5,5,3,0
3,variable,fixed,5,5,4,0
3,variable,fixed,5,5,5,0
3,variable,fixed,5,5,6,0
3,variable,fixed,5,5,7,0
3,variable,fixed,5,5,8,0
3,variable,fixed,5,5,9,1
3,variable,fixed,5,5,10,1
3,variable,fixed,5,5,11,0
3,variable,fixed,5,5,12,0
3,variable,fixed,5,6,1,0
3,variable,fixed,5,6,2,0
3,variable,fixed,5,6,3,0
3,variable,fixed,5,6,4,0
3,variable,fixed,5,6,5,0
3,variable,fixed,5,6,6,0
3,variable,fixed,5,6,7,0
3,variable,fixed,5,6,8,1
3,variable,fixed,5,6,9,0
3,variable,fixed,5,6,10,0
3,variable,fixed,5,6,11,0
3,variable,fixed,5,6,12,0
3,variable,fixed,6,0,1,1
3,variable,fixed,6,0,2,1
3,variable,fixed,6,0,3,1
3,variable,fixed,6,0,4,1
3,variable,fixed,6,0,5,1
3,variable,fixed,6,0,6,1
3,variable,fixed,6,0,7,1
3,variable,fixed,6,0,8,1
3,variable,fixed,6,0,9,1
3,variable,fixed,6,0,10,1
3,variable,fixed,6,0,11,1
3,variable,fixed,6,0,12,1
3,variable,fixed,6,1,1,1
3,variable,fixed,6,1,2,1
3,variable,fixed,6,1,3,1
3,variable,fixed,6,1,4,1
3,variable,fixed,6,1,5,1
3,variable,fixed,6,1,6,1
3,variable,fixed,6,1,7,1
3,variable,fixed,6,1,8,1
3,variable,fixed,6,1,9,1
3,variable,fixed,6,1,10,1
3,variable,fixed,6,1,11,1
3,variable,fixed,6,1,12,1
3,variable,fixed,6,2,1,1
3,variable,fixed,6,2,2,1
3,variable,fixed,6,2,3,1
3,variable,fixed,6,2,4,1
3,variable,fixed,6,2,5,1
3,variable,fixed,6,2,6,1
3,variable,fixed,6,2,7,1
3,variable,fixed,6,2,8,1
3,variable,fixed,6,2,9,1
3,variable,fixed,6,2,10,1
3,variable,fixed,6,2,11,1
3,variable,fixed,6,2,12,1
3,variable,fixed,6,3,1,1
3,variable,fixed,6,3,2,1
3,variable,fixed,6,3,3,1
3,variable,fixed,6,3,4,1
3,variable,fixed,6,3,5,1
3,variable,fixed,6,3,6,1
3,variable,fixed,6,3,7,1
3,variable,fixed,6,3,8,1
3,variable,fixed,6,3,9,1
3,variable,fixed,6,3,10,1
3,variable,fixed,6,3,11,1
3,variable,fixed,6,3,12,1
3,variable,fixed,6,4,1,1
3,variable,fixed,6,4,2,1
3,variable,fixed,6,4,3,1
3,variable,fixed,6,4,4,1
3,variable,fixed,6,4,5,1
3,variable,fixed,6,4,6,1
3,variable,fixed,6,4,7,0
3,variable,fixed,6,4,8,0
3,variable,fixed,6,4,9,1
3,variable,fixed,6,4,10,1
3,variable,fixed,6,4,11,0
3,variable,fixed,6,4,12,0
3,variable,fixed,6,5,1,1
3,variable,fixed,6,5,2,1
3,variable,fixed,6,5,3,1
3,variable,fixed,6,5,4,1
3,variable,fixed,6,5,5,1
3,variable,fixed,6,5,6,1
3,variable,fixed,6,5,7,0
3,variable,fixed,6,5,8,0
